"buchtitel","auflage","publikationsjahr"
"Am saufenden Band","1. Auflage",2021
"Am Scheideweg","1. Auflage",2023
"Amsterdam","Originalausgabe",2016
"Am toten Punkt","1. Auflage",2019
"Amtsmann Magd",NULL,2009
"Am Ufer meines Setzkastens",NULL,2021
"Am Ufer winkt Unendlichkeit – Illustrierte Sonderausgabe mit 12 phantastischen Erzählungen","1. Auflage",2022
"Amüsante und ironische Gute-Laune-Kurzgeschichten für Erwachsene und für Ihr Nachtkästchen!",NULL,2015
"Amüsante und nachdenkliche Geschichten",NULL,2008
"Am Vorabend des Taifuns",NULL,2011
"Am Wasser und zu Lande",NULL,2022
"Am Weg","1. vyd.",2015
"Am Wege Oins oms andr'","1. Auflage",2022
"Am Wegesrand","1. Aufl.",2009
"Am Wegrand",NULL,2018
"Am Weihnachtsbaum die Lichter brennen","1. Auflage, Großdruckausgabe",2017
"Am Windtelefon","Originalausgabe, 1. Auflage",2019
"AM YUKON - KANADA-ERZÄHLUNGEN","1. Auflage",2022
"Am Zug",NULL,2014
"Anakonda - Adrian- Allinger",NULL,2009
"Anal Deluxe","1. Aufl.",2014
"Anarchie in Ruhrstadt",NULL,2014
"Ana und die Fische","Erste  Auflage",2017
"Andante-Allegro für Opa und Enkel","1. Aufl.",2010
"An den Grenzen der Wirklichkeit",NULL,2008
"An den Kaukasus gekettet",NULL,2023
"An den Rändern","1. Auflage",2021
"An den Wassern",NULL,2009
"An der Bar und andere Texte",NULL,2008
"An der Baumgrenze","1. Aufl.",2010
"Andere Beziehungen","1. Auflage",2017
"Andere Dorfgeschichten","Erste Auflage",2021
"Andere Horizonte",NULL,2015
"Andere Länder, andere Fritten","Originalausgabe",2017
"Andere Menschen sind anders",NULL,2023
"Andererseits",NULL,2022
"Andere Welten",NULL,2009
"An der Grenze des Lichts",NULL,2022
"An der Guillotine und andere Erzählungen","1. Auflage",2021
"Andernorts","1. Auflage",2017
"An derselben Stelle des Flusses","1. Auflage",2020
"Andersens Märchen Update 1.1","1. Aufl.",2013
"Anderst",NULL,2019
"Anders-Wo","1. Auflage",2016
"ANDERSWO WEIT","1. Auflage",2021
"Anderwelt","1. Auflage",2022
"Anderwelt - alles was bleibt","Orig.-Ausg.",2011
"Anderzeiten",NULL,2018
"An die Rollatoren, fertig, los!",NULL,2023
"An diesem Dienstag","1. Auflage",2018
"An einem dieser Tage","1. Auflage",2018
"An einem Freitagabend",NULL,2011
"Anekdoten",NULL,2022
"Anekdoten aus alter Zeit",NULL,2009
"Anekdoten aus dem Leben einer Akademie","1. Aufl.",2008
"Anekdoten aus dem Leben Igor Rozols","1., Aufl.",2009
"Anekdoten, Glossen und Gedichte",NULL,2008
"Anekdoten treiben Blüten ...",NULL,2011
"Anekdoten und andere Merkwürdigkeiten","1. Aufl.",2012
"Anekdoten und merkwürdige Geschichten","1. Aufl.",2011
"Anekdoten vom Planeten Erde","1. Auflage",2020
"Anekdoten zum Advent",NULL,2012
"Anekdoten zur DDR","1. Aufl.",2014
"Anfangsverdacht","1. Auflage",2023
"Angel-Anekdoten","1. Aufl.",2014
"Angel Island","Orig.-Ausg., 1. Aufl.",2014
"Angeln beruhigt - weder Fische noch Würmer","1. Auflage",2019
"Angelner Sinfonie",NULL,2019
"Angeschwemmte Tage","1. Auflage",2023
"Angezapft war mein innerer Speicher",NULL,2011
"Angola entdecken!","1. Aufl.",2015
"An Gottes Segen ist alles gelegen",NULL,2014
"Angriff der Nanobots","1. Auflage",2019
"Angst!","1. Aufl.",2010
"Angstfänger",NULL,2008
"Angst - Geschichten aus der Kindheit",NULL,2015
"#angsthase",NULL,2020
"Angst vor blauem Himmel","1. Auflage",2018
"Angst vor Gott","1. Auflage",2023
"Angst zur blauen Stunde","1. Auflage",2009
"An hellen wie an trüben Tagen, kann die Poesie Dich tragen",NULL,2023
"Animal Spa","1. Auflage",2018
"Ankommen","1. Auflage",2016
"Ankommen im eigenen Leben",NULL,2023
"Anleitung im Korb geben","1. Auflage",2020
"Anleitung zum Fest",NULL,2010
"An meinen Geist",NULL,2011
"Anna 1964/Nana in der Fallle","1. Auflage",2020
"Annäherungen im Zwielicht","1. Auflage",2020
"Annas Einwände",NULL,2008
"Annas frivole Kurzgeschichten","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2016
"Annas Staub zu Gast/Annas Staub zu Gast - Omas Geschichten","1. Auflage",2022
"Annas Tränen",NULL,2012
"Anna und die fremde Frau",NULL,2016
"Annettes Anekdoten","1. Auflage",2023
"Anno 2048",NULL,2022
"Anruf-Beantworter und andere Kurzgeschichten","Erste Auflage einer Sonderausgabe",2021
"Anrufung des blinden Fisches ",NULL,2010
"Anschließend schlug ich beruhigend auf den Fahrgast ein","1. Auflage",2018
"Ansichten des Windes",NULL,2014
"Ansichten eines Hausschweins","1. Auflage",2018
"Ansichten eines Tagediebes","1. Aufl.",2014
"Ansichten eines Zweikäsehochs","Originalausgabe",2019
"Ansichtskarten","1. Aufl.",2011
"Ansichtssache?!","1. Aufl.",2013
"An Sieg und Rhein",NULL,2023
"Ansíth","Dt. Erstausg.",2008
"Anspielungen auf einen Fall","1. Auflage",2019
"Antaresnebel und andere Kurzgeschichten","1. Auflage (neue Sonderausgabe)",2021
"Anthologie","1. Aufl.",2013
"Anthologie 2011 / Günzburger Autoren-Verein","1. Aufl.",2011
"Anthologie #6",NULL,2020
"Anthologie auf das Jahr 1782","Nachdr. der Ausg., Stuttgart, Tobolsko, 1782",2009
"Anthologie Begegnungen",NULL,2012
"Anthologie bilingue de la poésie allemande",NULL,2010
"Anthologie - Das geschriebene Wort",NULL,2011
"Anthologie - das Leben, die Liebe, die Natur",NULL,2013
"Anthologie der deutschmährischen Literatur","1. Aufl.",2014
"Anthologie des Schicksals","1. Auflage",2020
"Anthologie Die Flieger","Erstausg.",2008
"Anthologie - die Magie des Mondes","1. Auflage",2016
"Anthologie du lied",NULL,2010
"Anthologie - Freiheit der Gedanken",NULL,2009
"Anthologie - Gedanken, Gefühle, Erinnerungen",NULL,2012
"Anthologie - Gedichte, Gedanken, ein Plädoyer für die Erhaltung der Natur und der Menschen",NULL,2018
"Anthologie - Gedichte, Gedanken, ein Plädoyer gegen das Aussetzen und Quälen von Tieren",NULL,2017
"Anthologie - Lyrik und Prosa",NULL,2010
"Anthologie vom Haus des Schreibens/Ging mir nie besser","1. Auflage",2017
"Anthologie Weihnachten: Weihnachten besitzt viele Gesichter","1. Auflage",2018
"Anthologie - Zeitgenossen",NULL,2008
"Anthologie zum Literarischen Wettbewerb des Reimo-Verlags 2015 So leben Asylbewerber in Bayern","1. Aufl.",2015
"Anton auf der Louise","1. Auflage",2014
"Antonia sucht den Weihnachtsmann","1. Auflage",2019
"Antonius schon wieder auf Achse",NULL,2009
"Anton und der Pistolenmann","1. Auflage",2016
"AnXt","1. Auflage",2022
"Apanies Perlen",NULL,2014
"Apfel",NULL,2016
"Apfelsinen am Lauschehang","1. Auflage",2022
"Aphrodite - Express","1. Auflage",2020
"Appetit auf mehr","1. Auflage",2016
"Applepie Stories",NULL,2018
"April, April","1. Auflage",2023
"April, April, Rüti macht, was es will",NULL,2020
"Aprillenwetter",NULL,2009
"April, Sturm und andere Turbulenzen","1. Aufl.",2015
"Ara","Dt. Erstausg.",2011
"ARACHNE","1. Auflage",2019
"Aran und Beat",NULL,2013
"Arbeiten für die Gartenlaube","1. Auflage",2022
"Arbeit ist ein Teil von mir ...",NULL,2008
"Arbeitslos - heimatlos - alles los",NULL,2008
"Arboretum ... Bäume tragen den Himmel",NULL,2008
"ARCHAIOS Sammelband Teil 1 bis 3","Neuerscheinung",2023
"Archivgeflüster","1. Auflage",2016
"Ardesis","1. Auflage",2018
"Arglose Träume und andere Geschichten ohne Ende",NULL,2009
"Arion Lusitanicus","1. Auflage",2023
"Aristoteles und die Kannibalen","1. Auflage",2018
"Arme Irre","1. Auflage",2021
"Armut Chaos Reichtum",NULL,2019
"Arndts Märchen Update 1.1","1. Auflage",2019
"Aroha","1. Auflage",2018
"Aroleit",NULL,2012
"Arsch hoch, Brust raus und los!","1. Auflage",2021
"Arsen und Friedenstäubchen",NULL,2016
"Ars moriendi","1., Aufl.",2013
"Artgerechte Menschenhaltung",NULL,2012
"Arthur unterm Regenbogen",NULL,2018
"Art of fun","Orig.-Erstausg.",2012
"Ärwin und dat mitte Kohle - Dönekes ohne Fiesematenten","1. Auflage",2016
"ArzDeitsch",NULL,2022
"Arznei gegen die Sterblichkeit",NULL,2019
"Asche","Erste Auflage",2022
"A scheene Bescherung","1. Auflage",2019
"Asche ist alles, was bleibt",NULL,2023
"Äs dat Ampellecht op Raut stonn",NULL,2009
"Aserbaidschanische Erzählungen",NULL,2013
"A shooting star & other stories",NULL,2015
"Aspekte der Raumzeit",NULL,2023
"Atala und René","1. Aufl.",2011
"Atemlos",NULL,2020
"Atemlos und lebenssatt","1. Auflage",2017
"Atemnot",NULL,2015
"Athanor",NULL,2009
"Athos: das Geheimnis des grünen Papageis","1. Auflage",2016
"Atlantis – die alte Prophezeiung: Sammelband 1 Sun Koh – Neue Abenteuer","1. Auflage",2020
"Atropos oder das Holzhaus am Alten See",NULL,2011
"At The Cemetery Gates","1. Auflage",2019
"Attitüden und Novellen",NULL,2013
"Auch aus schlimmen Buben kann was werden",NULL,2010
"Auch Beamte brauchen Horoskope","1. Aufl., ungek. Ausg.",2009
"Auch dein Herz ...",NULL,2011
"Auch ein Haar wirft einen Schatten und andere Geschichten","1. Aufl.",2008
"Auch heute kommt ein Weihnachtsengel",NULL,2009
"Auch in Barmbek scheint die Sonne","1. Auflage",2018
"Auch Lehrer fahren Zug - leider!",NULL,2019
"Auch so etwas gibt es","1. Auflage",2021
"Audienz beim Sonnenkönig",NULL,2008
"Auf Abwegen",NULL,2021
"Auf Anholt schieten die Möwen Lila","1. Auflage",2020
"Aufblick im Anfang",NULL,2013
"AufBruch","1. Veröff.",2012
"Aufbruch - Anthologie","1. Auflage",2022
"Aufbrüche",NULL,2012
"Aufbruch nach Kythera",NULL,2008
"Aufbruch nach Nebelland",NULL,2013
"Auf dem Berg",NULL,2011
"Auf dem Lande",NULL,2013
"Auf dem Nachttisch liegt ein Büchlein",NULL,2008
"Auf dem Wege zur amerikanischen Botschaft und andere Erzählungen","Originalgetreuer Nachdr. der Ausg. Berlin, Kiepenheuer, 1930",2008
"Auf dem Weg nach Hause und weitere Erzählungen aus der heutigen Zeit",NULL,2009
"Auf den anderen Ufern der Nacht","1. Auflage",2018
"Auf den Flügeln der Erinnerung","1. Auflage",2016
"Auf den Flügeln der Nacht",NULL,2009
"Auf den Flügeln der Zeit","1. Aufl.",2011
"Auf den Hund gekommen","1. Auflage",2017
"Auf den Platz gekommen",NULL,2011
"Auf den Schwingen der Sehnsucht",NULL,2016
"Auf den Spuren des Lächelns","1. Aufl.",2012
"Auf den Spuren des Lebens",NULL,2019
"Auf den Spuren verborgener Schätze am Walchensee",NULL,2014
"Auf den Wegen des Lebens",NULL,2012
"Auf den Wogen des Lebens","1. Aufl.",2010
"Auf der Alm da gibt's koa Sünd","1. Auflage, vollständige Taschenbuchausgabe, Originalausgabe",2021
"Auf der anderen Seite","Erstauflage",2023
"Auf der Arche ist der Jaguar Vegetarier",NULL,2015
"Auf der Bühne des Lebens",NULL,2016
"Auf der Galerie und andere Erzählungen","1. Aufl.",2010
"Auf der Lebensleiter",NULL,2015
"Auf der Suche nach dem Taubenbuch des Baal Schem Tow",NULL,2021
"Auf der Suche nach der entgangenen Milch","1. Aufl.",2011
"Auf der Suche nach der Schrift",NULL,2009
"Auf der Suche nach Marias Welt",NULL,2011
"Auf der Terrasse","1. Auflage",2017
"Auf der Walz",NULL,2017
"Auf der Wurzhütte und andere jagdliche Erzählungen",NULL,2013
"Auf die Knie!",NULL,2020
"Auf die Länge kommt es an","Orig.-Ausg.",2011
"Auf die Länge kommt's nicht an","Orig.-Ausg.",2012
"Auf die Plätzchen, fertig, los","Originalausgabe",2018
"Auf die Plätze, fertig ... Pause!",NULL,2021
"Auf die Seite gebracht","1. Auflage",2020
"Auf eigne Füß stehn",NULL,2008
"Auf einer Bank","Originalausgabe",2016
"Auf einmal ist alles anders",NULL,2020
"Auf einsamer Straße bei Nacht",NULL,2011
"Auf ein Wort",NULL,2023
"Auf ein Wort nur","1. Aufl.",2012
"Auferstehung",NULL,2008
"Auf ewig und dich",NULL,2011
"Auf flachen Sohlen auf und davon",NULL,2017
"Auf fremden Pfaden","1. Auflage",2017
"Auf fremden Spuren",NULL,2011
"Aufgeben ist keine Option!","1. Auflage",2023
"Auf gelbe Blätter geschrieben","1. Aufl.",2009
"Aufgelesen","1. Auflage",2023
"Aufgepeppt",NULL,2017
"Aufgeschrieben","1. Auflage",2020
"Aufgespießt",NULL,2008
"Auf halbem Weg",NULL,2018
"Auf heißen Kohlen","1. Aufl.",2014
"Auf Herz und Gewissen","1. Aufl.",2011
"Auf Ihr Wohl, Herr Nachbar und andere Geschichten",NULL,2015
"Auf Leben und Tod",NULL,2015
"Auf leisen Pfoten",NULL,2021
"Auf Luthers Patmos war der Teufel los ...","1. Auflage",2015
"Auf magischen Pfaden","Originalausgabe",2020
"Auf nach Anderswo!","1. Auflage",2022
"Auf nach Namibia","1. Auflage",2017
"Auf offenem Meer",NULL,2010
"Auf Pfaden im Regenwald","1. Auflage",2022
"Auf phantastischen Pfaden",NULL,2016
"Auf rauen Pfaden zu den Sternen",NULL,2013
"Auf Reisen","1. Aufl.",2012
"Aufruhr im Isartal",NULL,2012
"Auf Samtpfoten leise durch die Nacht",NULL,2019
"Auf sanften Sohlen",NULL,2023
"Aufschnitt",NULL,2021
"Aufs Ganze","Taschenbuchausgabe, Erstauflage, Erstveröffentlichung",2019
"Aufstieg der Menschheit","Originalausgabe",2022
"Aufstieg in den Bergen","1. Auflage",2023
"Auf Trümmern blühen Rosen",NULL,2017
"Auf unebenen Wegen","1. Auflage",2020
"Auf vier Pfoten kommt das Glück",NULL,2020
"Aufwachgedanken","1. Aufl.",2008
"Aufwärts",NULL,2021
"Auf Wiedersehen im Paradies",NULL,2015
"Aufzeichnungen eines Käfersammlers","Originalausgabe",2018
"Aufzeichnungen eines Tagelöhners","Orig.-Ausg.",2009
"Auf zur Wiesn","1. Aufl.",2014
"Augen-Blick","1. Auflage",2018
"Augenblick","1. Aufl.",2008
"Augenblicke","1. Auflage",2019
"Augenblicke, die berühren","Orig.-Ausg.",2010
"August","Orig.-Ausg., 1. Aufl.",2014
"Au-pair",NULL,2011
"Aura Moons wundersame Märlein","1. Auflage",2023
"Aurelian Sammelband 1","1. Auflage",2022
"Aurelian Sammelband 2","1. Auflage",2023
"Aurora","1. Auflage",2015
"Aus Angst wächst Mut",NULL,2016
"Ausblendung","1. Auflage",2019
"Ausblendung. Wege in die virtuelle Welt",NULL,2019
"Ausbruch",NULL,2021
"Aus dem All des Tages","1. Auflage",2021
"Aus dem Alltag eines Dienstleisters","1. Auflage",2022
"Aus dem Alltag gehebelt","1. Auflage",2020
"Aus dem Bayerischen Wald und aus Chicago",NULL,2018
"Aus dem Blickwinkel eines Nusssammlers","1. Auflage",2018
"Aus dem Ferienhaus geplaudert",NULL,2014
"Aus dem Gebirge",NULL,2016
"Aus dem Gleis",NULL,2013
"Aus dem Herzen für die Seele","1. Aufl.",2009
"Aus dem Leben des Heinerich Gottlieb","1. Auflage",2016
"Aus dem Leben einer Mutter",NULL,2023
"Aus dem Leben einer Tagediebin oder wen der Hafer sticht",NULL,2009
"Aus dem Leben eines Erfolgsschriftstellers","1. Auflage",2022
"Aus dem Leben eines Lohnschreibers","Orig.-Ausg., 1. Aufl.",2009
"Aus dem Leben eines Taugenichts","Orig.-Ausg.",2008
"Aus dem Leben erzählt","1. Auflage",2018
"Aus dem Leben gegriffen","1. Auflage",2018
"Aus dem Logbuch der Vagabundin",NULL,2013
"Aus dem Nähkästchen geplaudert","1. Auflage",2023
"Aus dem Nest gefallen","Neuausg., 1. Aufl.",2009
"Aus dem Ruder",NULL,2012
"Aus dem Spessart","1. Aufl.",2010
"Aus dem Tagebuch eines Kurzwarenhändlers und andere Geschichten","Orig.-Ausg., 1. Aufl., Erstdr.",2008
"Aus dem Takt","1. Auflage",2020
"Aus dem Tal",NULL,2009
"Aus dem Überseekoffer","1.0 Auflage",2022
"Aus den drei Leben eines zweimal Verstorbenen",NULL,2015
"Aus den Reben fließt das Leben","Orig.-Ausg.",2010
"Aus der Bühne des Lebens","1. Auflage",2020
"Aus der Erstarrung",NULL,2015
"Aus der Gedankenwelt eines normalen Menschen",NULL,2021
"Aus der guten alten Zeit",NULL,2020
"Aus der Kabine","1. Auflage",2016
"Aus der Mappe","1. Aufl.",2013
"Aus der Quelle der Lebensweisheit","Deutsche Erstausgabe, 1. Auflage",2016
"Aus der Reihe getanzt",NULL,2010
"Aus der Schublade","1. Auflage",2022
"Aus der Seele ...",NULL,2008
"Aus der Spiegelwelt","1. Aufl.",2012
"Aus der Traum","1. Aufl.",2014
"Aus der Welt von Fabula Ensis","1. Auflage",2022
"Aus der Zeit gefallen","1. Auflage",2020
"Aus dr Nubberschoaft",NULL,2018
"Ausdruckstanz ist keine Lösung","1. Aufl.",2011
"Aus einem alten Kräuterdorf","Erste Gesamtausgabe",2020
"Aus einem anderen Land","1. Aufl.",2008
"Aus einem kleinen toskanischen Bergdorf",NULL,2018
"Aus einem traurigen Arsch fährt nie ein fröhlicher Furz",NULL,2016
"Aus einer neuen Welt",NULL,2022
"Aus fernem Land","1. Auflage",2019
"Ausflug ins Paradies","Erste Auflage",2021
"Aus freiem Herzen","1. Auflage",2021
"Ausgedacht",NULL,2021
"Aus gegebenem Anlass: auf der Flucht",NULL,2023
"Ausgegrenzt",NULL,2017
"Ausgekippt im All","1. Aufl.",2013
"Ausgependelt",NULL,2019
"Ausgerechnet an Heiligabend",NULL,2009
"Ausgerechnet Deutschland",NULL,2019
"Ausgerechnet Tomaten ...",NULL,2021
"Ausgesprochen erotisch",NULL,2022
"Ausgetrickst bis Zwischenstopp","1. Auflage",2016
"Ausgewählte Erzählungen für die Jugend","1. Auflage",2020
"Ausgewählte Erzählungen und Kurzgeschichten - Großdruck","1. Auflage",2023
"Ausgewählte Prosa",NULL,2012
"Ausgewählte Werke","1. Aufl.",2009
"Ausgewundert","Erste Auflage",2021
"Aus Großvaters Erzählungen",NULL,2008
"Aus heiterem Himmel",NULL,2011
"Aus jüngst vergangener Zeit","1. Auflage",2019
".....aus Kinderaugen leuchtet die hohe Weihnachtszeit","1. Auflage",2021
"Auslandsdschungel",NULL,2016
"Aus lauter Liebe","Orig.-Ausg., 1. Aufl.",2013
"Aus Liebe zum Meer",NULL,2015
"Aus meiner Sicht",NULL,2013
"Ausnahmezustand im Schlaraffenland",NULL,2009
"Aus Nanies Schatzkästchen",NULL,2008
"Aus Omas Nähkästchen und Opas Geigenkasten",NULL,2012
"Aus PC und Tintenfass",NULL,2012
"Ausrasten",NULL,2021
"Ausreden",NULL,2022
"Ausschau halten nach Tigern",NULL,2011
"Aus Scherben gelesen",NULL,2008
"Aussee is a lustigs Ta°l",NULL,2013
"Außergewöhnliche Begebenheiten","1. Auflage",2023
"Aussicht",NULL,2021
"Aus Sprache",NULL,2015
"AUS TIEFSTER NOT SCHREI ICH ZU DIR","1. Auflage",2019
"Aus- und Einsichten",NULL,2008
"Auswandern","Originalausgabe",2017
"Aus_Wege","1. Auflage",2021
"Auswege ins Glück",NULL,2014
"Auszeit",NULL,2008
"Auszeit Storys","1. Auflage",2017
"Autobahn mit Raubvögeln","1. Auflage",2020
"AUTO-Biografie",NULL,2012
"Autolyse Wien",NULL,2017
"Autoren decken auf",NULL,2010
"Autos, Elstern, Lampengeister",NULL,2010
"Autosex - geil & hart","Vollständige Taschenbuchausgabe, Originalausgabe",2020
"Autsch!",NULL,2008
"Autumn of Love",NULL,2022
"Avantgarde, Chopin und frische Blumen",NULL,2014
"Avec un si léger bagage",NULL,2010
"A walk on the dark side","1. Tsd.",2008
"A wie Agapanthus, Z wie Zyklame","Orig.-Ausg.",2013
"Awwei awwer!","1. Aufl.",2008
"Axel Prahl präsentiert: Wilde Welle","Orig.-Ausg.",2014
"Azreds Buch",NULL,2010
"Baba Poem I-V","1. Auflage",2023
"Baba, wie lange fahren wir noch?",NULL,2019
"Babette postfaktisch","1. Auflage",2020
"Babo auf dem Weg","Deutsche Erstausgabe",2016
"Babytalk","1. Aufl.",2009
"Bach auf den Hund gekommen",NULL,2011
"Backbord oder Steuerbord",NULL,2014
"Background Check - Amerikanische Dichtung nach 2001","1. Aufl.",2011
"Backnang Stories 2014","1. Aufl.",2014
"Back to Life - Sammelband",NULL,2016
"Baden kann tödlich sein","Erstausgabe",2018
"Baden verboten!","1. Aufl.",2013
"Bad literature","1. Aufl.",2008
"Bad Sauerbrunn","1. Aufl.",2011
"Bad Weihnachten",NULL,2018
"Baff!",NULL,2012
"Bagatellen","1. Auflage",2016
"Bahn frei! Kartoffelbrei!","1. Aufl.",2015
"Baiana",NULL,2013
"Bald ist Ladenschluss",NULL,2021
"Bald nun ist Weihnachtszeit",NULL,2014
"Bali, Brasilien und andere Abenteuer","1. Aufl.",2009
"Balkonlesebuch","Orig.-Ausg.",2010
"Balladensch(w)atz",NULL,2022
"Ballast","1. Aufl.",2011
"Ballett mit Bestie","1. Aufl.",2013
"Balthasar's Erzählungen",NULL,2012
"Banalanga","1. Aufl.",2013
"Banalitäten des Wahnsinns",NULL,2015
"Band aus Licht","1. Auflage",2023
"Band ... der Elfenreihe",NULL,2009
"Bande meiner Kindheit",NULL,2019
"Bandits & Bitches","1., Auflage",2011
"Bäng","1. Aufl.",2013
"Bar",NULL,2008
"Barbara lächelt",NULL,2017
"Bärbel Wachholz und der weiße Tatra","1. Aufl.",2012
"Bärendienst",NULL,2021
"Bärenzart",NULL,2015
"Bärfurt am Main",NULL,2012
"Barfuß","1. Aufl.",2013
"Barfuß durch den Regen","Orig.-Ausg.",2008
"Barfuss durch die Galaxie","1. Auflage",2021
"Bärige Kurzgeschichten","1. Auflage",2022
"Bark & bite",NULL,2019
"Bärlauch","1.0. Auflage",2023
"Bärlauchzeit","1. Auflage",2019
"Barmherzig","1. Auflage",2020
"Barocke Blüte","1. Auflage",2018
"Barßeler Geschichten",NULL,2011
"Basel zwischen Himmel und Hölle","1. Ausgabe",2019
"Basilikumdrache und Schöpfungskrönchen","Originalausgabe",2016
"Bäslack","Erweiterte Fassung der Ausgabe von 2018",2021
"Bastardlieben","1. Auflage",2015
"Bathtime Stories","1. Auflage",2016
"Bauchlandung",NULL,2012
"Bauernparty und andere Geschichten aus dem Birkenland","1. Aufl.",2013
"Bauer Witthus im Jahr des Schweins","1. Auflage",2023
"Baumfänger","1. Auflage",2015
"Baumflüstern",NULL,2013
"Baumgeflüster",NULL,2009
"Baum singen",NULL,2012
"BauWerke",NULL,2015
"Bayerisches Hausbuch auf das Jahr 2022",NULL,2021
